date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:01:08	45/45	---M--	200	added ('OK')	text/css	etag:3af1d4fa8992f100f8172eef8da73214	http://somnus.mediumra.re/css/custom.css	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/css/custom.css	(from http://somnus.mediumra.re/index.html)
14:01:09	12851/12851	---M-Z	200	added ('OK')	text/html	etag:d2a727652e10af39310e35f497963fd0	http://somnus.mediumra.re/home-instagram.html	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/home-instagram.html	(from http://somnus.mediumra.re/index.html)
14:01:09	11427/11427	---M--	200	added ('OK')	image/jpeg	etag:9a128dfae1c27774e7a52796936094f3	http://somnus.mediumra.re/img/small7.jpg	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/img/small7.jpg	(from http://somnus.mediumra.re/about.html)
14:01:10	10717/10717	---M--	200	added ('OK')	image/jpeg	etag:1b1d75f8f6c67e1f38b8e16e87db000f	http://somnus.mediumra.re/img/small6.jpg	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/img/small6.jpg	(from http://somnus.mediumra.re/about.html)
14:01:10	6490/6490	---M--	200	added ('OK')	image/jpeg	etag:34421e42fccfaf1962d5c3e4dd9d0ce6	http://somnus.mediumra.re/img/small4.jpg	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/img/small4.jpg	(from http://somnus.mediumra.re/about.html)
14:01:11	10135/10135	---M--	200	added ('OK')	image/jpeg	etag:81e63408f58768ee747469097d98ef9b	http://somnus.mediumra.re/img/small5.jpg	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/img/small5.jpg	(from http://somnus.mediumra.re/about.html)
14:01:23	74233/74233	---M--	200	added ('OK')	image/jpeg	etag:aac974488985f278d6d1a00e328b5416	http://somnus.mediumra.re/img/blog1.jpg	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/img/blog1.jpg	(from http://somnus.mediumra.re/news.html)
14:01:25	72992/72992	---M--	200	added ('OK')	image/jpeg	etag:1fa8726b12cd975d7cda06ce980bfa1e	http://somnus.mediumra.re/img/blog2.jpg	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/img/blog2.jpg	(from http://somnus.mediumra.re/news.html)
14:01:29	142932/142932	---M--	200	added ('OK')	image/jpeg	etag:d71c211783543bff01af16d2e23930f0	http://somnus.mediumra.re/img/large5.jpg	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/img/large5.jpg	(from http://somnus.mediumra.re/about.html)
14:01:33	45244/45244	---M--	200	added ('OK')	image/jpeg	etag:530721b01d775caa5a1a14b32cda1ec1	http://somnus.mediumra.re/img/wide1.jpg	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/img/wide1.jpg	(from http://somnus.mediumra.re/timetable.html)
14:01:36	18712/18712	---M--	200	added ('OK')	image/jpeg	etag:b19aa8c41def1606c066c6c10da86779	http://somnus.mediumra.re/img/small3.jpg	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/img/small3.jpg	(from http://somnus.mediumra.re/index.html)
14:01:37	48074/48074	---M--	200	added ('OK')	image/jpeg	etag:a8c02c459f2e2b0e738424c8b36f3de6	http://somnus.mediumra.re/img/tall1.jpg	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/img/tall1.jpg	(from http://somnus.mediumra.re/contact.html)
14:01:38	146082/146082	---M--	200	added ('OK')	image/jpeg	etag:14b8eb6002cd7519de5e9aaaf94fb7ef	http://somnus.mediumra.re/img/large3.jpg	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/img/large3.jpg	(from http://somnus.mediumra.re/class-single.html)
14:01:38	35169/35169	---M-Z	200	added ('OK')	application/x-javascript	etag:f725beb09005a1f2c53761e3db77d687	http://somnus.mediumra.re/js/bootstrap.min.js	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/js/bootstrap.min.js	(from http://somnus.mediumra.re/index.html)
14:01:38	6391/6391	---M-Z	200	added ('OK')	text/html	etag:32fb4a1660b5025d00b7cbc9980daadc	http://somnus.mediumra.re/utility.html	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/utility.html	(from http://somnus.mediumra.re/index.html)
14:01:39	12537/12537	---M-Z	200	added ('OK')	text/html	etag:fbfcb8ed97eee864f3f2ecf028eb8f20	http://somnus.mediumra.re/	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/index-2.html	(from http://somnus.mediumra.re/js/twitterfetcher.min.js)
14:01:40	70/70	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Apr%202023%2008:31:40%20GMT	http://somnus.mediumra.re/fonts/glyphicons-halflings-regular.eot	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/fonts/glyphicons-halflings-regular.eot	(from http://somnus.mediumra.re/css/bootstrap.css)
14:01:43	149160/149160	---M--	200	added ('OK')	image/jpeg	etag:abab96125d5d9038c2770b6c6de11a9b	http://somnus.mediumra.re/img/large6.jpg	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/img/large6.jpg	(from http://somnus.mediumra.re/timetable.html)
14:01:45	50234/50234	---MC-	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/anike/OneDrive/Desktop/web/Yoga/www.google-analytics.com/analytics.js	(from http://somnus.mediumra.re/js/scripts.js)
14:01:47	78748/78748	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:2c454669bdf3aebf32a1bd8ac1e0d2d6	http://somnus.mediumra.re/fonts/themify.eot?-fvbane	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/fonts/themify9f24.eot	(from http://somnus.mediumra.re/css/themify-icons.css)
14:01:48	78748/78748	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:2c454669bdf3aebf32a1bd8ac1e0d2d6	http://somnus.mediumra.re/fonts/themify.eot?	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/fonts/themifyd41d.eot	(from http://somnus.mediumra.re/css/themify-icons.css)
14:01:50	56108/56108	---M--	200	added ('OK')	application/octet-stream	etag:a1ecc3b826d01251edddf29c3e4e1e97	http://somnus.mediumra.re/fonts/themify.woff?-fvbane	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/fonts/themify9f24.woff	(from http://somnus.mediumra.re/css/themify-icons.css)
14:01:52	78584/78584	---M-Z	200	added ('OK')	application/x-font-ttf	etag:e23a7dcaefbde4e74e263247aa42ecd7	http://somnus.mediumra.re/fonts/themify.ttf?-fvbane	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/fonts/themify9f24.ttf	(from http://somnus.mediumra.re/css/themify-icons.css)
14:01:52	70/70	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Apr%202023%2008:31:52%20GMT	http://somnus.mediumra.re/%22//cdn-images.mailchimp.com/embedcode/classic-081711.css%22	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/_/cdn-images.mailchimp.com/embedcode/classic-081711.css_	(from http://somnus.mediumra.re/index.html)
14:01:52	234269/234269	---MCZ	200	added ('OK')	image/svg+xml	etag:9c8e96ecc7fa01e6ebcd196495ed2db5	http://somnus.mediumra.re/fonts/themify.svg?-fvbane	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/fonts/themify9f24.svg	(from http://somnus.mediumra.re/css/themify-icons.css)
14:01:52	70/70	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Apr%202023%2008:31:52%20GMT	http://somnus.mediumra.re/Popover%20requires%20tooltip.js	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/Popover%20requires%20tooltip.js	(from http://somnus.mediumra.re/js/bootstrap.min.js)
14:01:53	7763/7763	---M-Z	200	added ('OK')	application/x-javascript	etag:540681acd615bfe68e3c43c03570892c	http://somnus.mediumra.re/js/lightbox.min.js	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/js/lightbox.min.js	(from http://somnus.mediumra.re/index.html)
14:01:53	1360/1360	---M--	200	added ('OK')	image/png	etag:84b76dee6b27b795e89e3649078a11c2	http://somnus.mediumra.re/img/lightbox/prev.png	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/img/lightbox/prev.png	(from http://somnus.mediumra.re/css/lightbox.min.css)
